font_name,accuracy,font_size,vox_atypl,underlined,bold
Libra Regular,79.75%,22,manual,False,False
BreitkopfFraktur,91.28%,22,manual,True,False
BreitkopfFraktur,90.97%,16,manual,True,False
AshleyScriptMTStdRg,94.70%,18,manual,False,False
Libra Regular,69.16%,32,manual,True,False
balzac,0.00%,32,manual,True,False
balzac,70.40%,22,manual,False,False
AshleyScriptMTStdRg,92.83%,34,manual,False,False
Dom Regular,93.46%,30,manual,False,False
AshleyScriptMTStdRg,95.95%,12,manual,True,False
Libra Regular,71.96%,28,manual,True,False
Libra Regular,78.82%,10,manual,True,False
AshleyScriptMTStdRg,94.39%,14,manual,False,False
balzac,0.00%,34,manual,False,False
BreitkopfFraktur,91.90%,12,manual,True,False
Dom Regular,91.59%,32,manual,True,False
BreitkopfFraktur,93.77%,18,manual,True,False
balzac,0.00%,18,manual,False,False
balzac,0.00%,22,manual,True,False
Libra Regular,79.75%,22,manual,True,False
balzac,84.42%,10,manual,False,False
Libra Regular,74.45%,24,manual,False,False
balzac,0.00%,24,manual,True,False
AshleyScriptMTStdRg,92.52%,26,manual,False,False
Dom Regular,93.77%,20,manual,False,False
Dom Regular,94.70%,18,manual,False,False
Libra Regular,71.34%,26,manual,True,False
Dom Regular,94.39%,16,manual,False,False
AshleyScriptMTStdRg,94.08%,20,manual,True,False
BreitkopfFraktur,88.16%,26,manual,False,False
AshleyScriptMTStdRg,96.26%,10,manual,True,False
BreitkopfFraktur,89.41%,26,manual,True,False
balzac,0.00%,30,manual,True,False
Libra Regular,69.47%,28,manual,False,False
Libra Regular,77.57%,14,manual,True,False
AshleyScriptMTStdRg,95.33%,12,manual,False,False
BreitkopfFraktur,87.85%,34,manual,False,False
Libra Regular,64.49%,32,manual,False,False
Libra Regular,81.62%,20,manual,True,False
Dom Regular,91.28%,30,manual,True,False
balzac,0.62%,14,manual,True,False
AshleyScriptMTStdRg,93.77%,34,manual,True,False
Libra Regular,74.77%,20,manual,False,False
Dom Regular,95.02%,12,manual,True,False
AshleyScriptMTStdRg,94.08%,16,manual,True,False
Libra Regular,73.52%,12,manual,False,False
AshleyScriptMTStdRg,95.33%,20,manual,False,False
BreitkopfFraktur,88.16%,34,manual,True,False
BreitkopfFraktur,90.97%,22,manual,False,False
Dom Regular,95.33%,10,manual,False,False
Dom Regular,94.08%,28,manual,False,False
Dom Regular,95.02%,16,manual,True,False
Dom Regular,93.15%,32,manual,False,False
balzac,27.41%,12,manual,False,False
balzac,0.00%,26,manual,True,False
BreitkopfFraktur,91.90%,14,manual,True,False
AshleyScriptMTStdRg,94.08%,28,manual,False,False
balzac,0.62%,20,manual,True,False
AshleyScriptMTStdRg,92.83%,32,manual,True,False
balzac,0.00%,34,manual,True,False
Libra Regular,81.93%,12,manual,True,False
Dom Regular,91.90%,34,manual,True,False
AshleyScriptMTStdRg,92.52%,30,manual,True,False
AshleyScriptMTStdRg,95.64%,16,manual,False,False
BreitkopfFraktur,91.28%,24,manual,True,False
Dom Regular,94.08%,10,manual,True,False
balzac,0.00%,28,manual,False,False
AshleyScriptMTStdRg,94.70%,22,manual,False,False
balzac,0.00%,32,manual,False,False
Dom Regular,93.77%,24,manual,False,False
BreitkopfFraktur,91.59%,16,manual,False,False
Libra Regular,81.62%,16,manual,True,False
Libra Regular,77.57%,14,manual,False,False
AshleyScriptMTStdRg,96.57%,10,manual,False,False
AshleyScriptMTStdRg,93.15%,32,manual,False,False
Libra Regular,65.42%,34,manual,False,False
balzac,48.91%,12,manual,True,False
balzac,0.00%,14,manual,False,False
Libra Regular,74.14%,26,manual,False,False
Libra Regular,78.82%,18,manual,False,False
Dom Regular,92.52%,34,manual,False,False
BreitkopfFraktur,92.83%,18,manual,False,False
Libra Regular,62.93%,34,manual,True,False
Libra Regular,80.69%,16,manual,False,False
balzac,0.00%,16,manual,True,False
BreitkopfFraktur,90.97%,28,manual,False,False
Dom Regular,92.83%,24,manual,True,False
BreitkopfFraktur,90.97%,28,manual,True,False
Dom Regular,95.02%,12,manual,False,False
Libra Regular,81.00%,18,manual,True,False
Dom Regular,93.77%,26,manual,False,False
AshleyScriptMTStdRg,92.83%,26,manual,True,False
AshleyScriptMTStdRg,95.33%,14,manual,True,False
BreitkopfFraktur,89.41%,30,manual,True,False
BreitkopfFraktur,89.41%,20,manual,False,False
balzac,38.94%,10,manual,True,False
balzac,0.00%,28,manual,True,False
Libra Regular,67.29%,30,manual,True,False
Dom Regular,75.39%,22,manual,True,False
AshleyScriptMTStdRg,95.02%,18,manual,True,False
BreitkopfFraktur,85.67%,30,manual,False,False
BreitkopfFraktur,93.15%,10,manual,True,False
BreitkopfFraktur,85.98%,32,manual,False,False
balzac,87.23%,16,manual,False,False
BreitkopfFraktur,92.52%,10,manual,False,False
Libra Regular,77.88%,24,manual,True,False
balzac,0.00%,20,manual,False,False
AshleyScriptMTStdRg,94.08%,24,manual,False,False
AshleyScriptMTStdRg,94.70%,22,manual,True,False
Dom Regular,93.46%,20,manual,True,False
balzac,0.00%,26,manual,False,False
BreitkopfFraktur,92.21%,12,manual,False,False
Dom Regular,94.08%,14,manual,False,False
Libra Regular,67.29%,30,manual,False,False
AshleyScriptMTStdRg,93.15%,24,manual,True,False
Dom Regular,92.83%,28,manual,True,False
BreitkopfFraktur,91.28%,24,manual,False,False
AshleyScriptMTStdRg,92.52%,30,manual,False,False
BreitkopfFraktur,90.65%,14,manual,False,False
Dom Regular,93.77%,18,manual,True,False
balzac,0.00%,30,manual,False,False
Dom Regular,94.08%,14,manual,True,False
AshleyScriptMTStdRg,93.15%,28,manual,True,False
BreitkopfFraktur,90.65%,20,manual,True,False
Dom Regular,93.15%,26,manual,True,False
BreitkopfFraktur,88.16%,32,manual,True,False
Libra Regular,79.44%,10,manual,False,False
balzac,0.00%,24,manual,False,False
balzac,0.00%,18,manual,True,False
Dom Regular,94.39%,22,manual,False,False
MISTRAL,64.80%,34,scripts,False,False
Anglaise,8.72%,34,scripts,True,False
Anglaise,25.86%,30,scripts,False,False
mercurius,92.52%,28,scripts,False,False
Anglaise,1.25%,18,scripts,True,False
balzac,0.00%,32,scripts,True,False
balzac,70.40%,22,scripts,False,False
mercurius,91.59%,32,scripts,False,False
MISTRAL,81.31%,16,scripts,False,False
balzac,0.00%,34,scripts,False,False
MISTRAL,43.30%,18,scripts,True,False
mercurius,96.57%,14,scripts,False,False
mercurius,94.39%,20,scripts,False,False
Anglaise,12.15%,10,scripts,True,False
balzac,0.00%,18,scripts,False,False
balzac,0.00%,22,scripts,True,False
MISTRAL,37.38%,28,scripts,True,False
balzac,84.42%,10,scripts,False,False
balzac,0.00%,24,scripts,True,False
mercurius,95.95%,16,scripts,False,False
Anglaise,33.64%,10,scripts,False,False
MISTRAL,60.75%,22,scripts,False,False
MISTRAL,30.53%,30,scripts,True,False
mercurius,93.46%,22,scripts,True,False
Anglaise,43.61%,24,scripts,False,False
MISTRAL,62.93%,22,scripts,True,False
MISTRAL,77.57%,32,scripts,True,False
mercurius,36.45%,10,scripts,True,False
balzac,0.00%,30,scripts,True,False
mercurius,94.08%,28,scripts,True,False
Anglaise,9.03%,14,scripts,True,False
MISTRAL,81.62%,10,scripts,False,False
Anglaise,0.62%,20,scripts,True,False
MISTRAL,18.07%,20,scripts,True,False
balzac,0.62%,14,scripts,True,False
MISTRAL,75.08%,10,scripts,True,False
Anglaise,27.73%,16,scripts,False,False
mercurius,93.46%,30,scripts,True,False
Anglaise,1.56%,34,scripts,False,False
Anglaise,0.62%,28,scripts,True,False
mercurius,93.77%,26,scripts,False,False
MISTRAL,48.91%,24,scripts,True,False
MISTRAL,70.72%,12,scripts,True,False
mercurius,96.26%,12,scripts,False,False
balzac,27.41%,12,scripts,False,False
balzac,0.00%,26,scripts,True,False
Anglaise,11.21%,26,scripts,True,False
balzac,0.62%,20,scripts,True,False
balzac,0.00%,34,scripts,True,False
MISTRAL,75.70%,18,scripts,False,False
Anglaise,43.61%,26,scripts,False,False
balzac,0.00%,28,scripts,False,False
Anglaise,0.62%,24,scripts,True,False
Anglaise,7.17%,22,scripts,True,False
mercurius,92.52%,24,scripts,False,False
MISTRAL,21.50%,26,scripts,True,False
balzac,0.00%,32,scripts,False,False
Anglaise,37.69%,32,scripts,False,False
Anglaise,31.46%,22,scripts,False,False
Anglaise,27.73%,30,scripts,True,False
MISTRAL,76.01%,28,scripts,False,False
mercurius,94.70%,22,scripts,False,False
mercurius,93.77%,24,scripts,True,False
Anglaise,33.02%,14,scripts,False,False
Anglaise,12.77%,12,scripts,True,False
balzac,48.91%,12,scripts,True,False
balzac,0.00%,14,scripts,False,False
mercurius,95.95%,18,scripts,True,False
mercurius,78.19%,12,scripts,True,False
balzac,0.00%,16,scripts,True,False
Anglaise,26.17%,20,scripts,False,False
mercurius,96.26%,10,scripts,False,False
MISTRAL,81.00%,14,scripts,False,False
MISTRAL,86.92%,12,scripts,False,False
MISTRAL,73.21%,26,scripts,False,False
balzac,38.94%,10,scripts,True,False
balzac,0.00%,28,scripts,True,False
MISTRAL,74.77%,20,scripts,False,False
Anglaise,37.38%,18,scripts,False,False
mercurius,94.39%,16,scripts,True,False
Anglaise,24.61%,12,scripts,False,False
mercurius,91.90%,32,scripts,True,False
balzac,87.23%,16,scripts,False,False
mercurius,95.02%,20,scripts,True,False
balzac,0.00%,20,scripts,False,False
MISTRAL,70.72%,30,scripts,False,False
MISTRAL,73.21%,14,scripts,True,False
mercurius,93.15%,26,scripts,True,False
balzac,0.00%,26,scripts,False,False
mercurius,91.90%,34,scripts,False,False
MISTRAL,24.61%,16,scripts,True,False
Anglaise,37.38%,32,scripts,True,False
MISTRAL,33.96%,34,scripts,True,False
Anglaise,-0.93%,16,scripts,True,False
mercurius,91.59%,34,scripts,True,False
mercurius,93.15%,30,scripts,False,False
balzac,0.00%,30,scripts,False,False
MISTRAL,76.95%,24,scripts,False,False
mercurius,94.70%,14,scripts,True,False
MISTRAL,57.94%,32,scripts,False,False
balzac,0.00%,24,scripts,False,False
Anglaise,34.27%,28,scripts,False,False
balzac,0.00%,18,scripts,True,False
mercurius,95.64%,18,scripts,False,False
vendomeregular,95.33%,20,garaldes,True,False
Bembo-Bold-Font,95.95%,20,garaldes,False,True
vendomeregular,95.95%,10,garaldes,True,False
Garamond Regular,96.57%,10,garaldes,False,False
vendomeregular,95.02%,30,garaldes,True,False
vendomeregular,94.70%,22,garaldes,True,False
Bembo-Bold-Font,96.57%,24,garaldes,True,False
grandjean,16.20%,34,garaldes,True,False
Bembo-Bold-Font,95.64%,14,garaldes,True,False
vendomeregular,95.64%,32,garaldes,False,False
DeRoos,93.77%,16,garaldes,True,False
grandjean,18.69%,22,garaldes,True,False
vendomeregular,96.57%,12,garaldes,True,False
DeRoos,93.77%,24,garaldes,True,False
Garamond Regular,96.57%,14,garaldes,True,False
DeRoos,92.83%,28,garaldes,True,False
grandjean,18.38%,32,garaldes,False,False
DeRoos,93.77%,22,garaldes,True,False
Garamond Regular,95.33%,28,garaldes,False,False
Bembo-Bold-Font,93.77%,32,garaldes,False,True
vendomeregular,95.95%,18,garaldes,False,False
grandjean,15.89%,34,garaldes,False,False
Garamond Regular,95.64%,16,garaldes,False,False
vendomeregular,95.95%,18,garaldes,True,False
grandjean,16.82%,26,garaldes,True,False
vendomeregular,95.02%,16,garaldes,True,False
Garamond Regular,95.33%,32,garaldes,False,False
Bembo-Bold-Font,96.88%,24,garaldes,False,True
Bembo-Bold-Font,92.83%,32,garaldes,True,False
Bembo-Bold-Font,94.08%,22,garaldes,True,False
grandjean,17.45%,26,garaldes,False,False
Bembo-Bold-Font,96.57%,12,garaldes,False,True
DeRoos,94.08%,10,garaldes,True,False
Bembo-Bold-Font,95.33%,16,garaldes,False,True
Garamond Regular,96.57%,12,garaldes,False,False
vendomeregular,95.02%,24,garaldes,True,False
vendomeregular,95.33%,14,garaldes,True,False
DeRoos,94.08%,26,garaldes,False,False
grandjean,21.81%,14,garaldes,False,False
grandjean,21.81%,10,garaldes,False,False
Bembo-Bold-Font,95.95%,18,garaldes,True,False
grandjean,18.07%,28,garaldes,True,False
Bembo-Bold-Font,95.33%,28,garaldes,True,False
DeRoos,82.24%,16,garaldes,False,False
Bembo-Bold-Font,96.26%,10,garaldes,False,True
DeRoos,94.39%,34,garaldes,False,False
Garamond Regular,94.70%,22,garaldes,False,False
Garamond Regular,95.33%,24,garaldes,True,False
grandjean,17.76%,30,garaldes,False,False
grandjean,18.07%,12,garaldes,True,False
Garamond Regular,96.26%,10,garaldes,True,False
DeRoos,96.57%,10,garaldes,False,False
grandjean,17.45%,24,garaldes,True,False
vendomeregular,96.57%,12,garaldes,False,False
Bembo-Bold-Font,95.64%,30,garaldes,False,True
Garamond Regular,94.39%,18,garaldes,True,False
Garamond Regular,92.21%,18,garaldes,False,False
grandjean,18.69%,32,garaldes,True,False
vendomeregular,95.33%,28,garaldes,True,False
DeRoos,95.02%,28,garaldes,False,False
Bembo-Bold-Font,95.02%,22,garaldes,False,True
DeRoos,93.77%,30,garaldes,True,False
vendomeregular,93.46%,34,garaldes,True,False
DeRoos,95.02%,24,garaldes,False,False
Garamond Regular,94.39%,30,garaldes,False,False
Garamond Regular,95.33%,34,garaldes,True,False
vendomeregular,96.57%,10,garaldes,False,False
grandjean,16.51%,24,garaldes,False,False
DeRoos,95.02%,22,garaldes,False,False
