font_name,accuracy,font_size,vox_atypl,underlined,bold
SchibstedGrotesk-Bold,97.20%,10,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,97.51%,12,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,96.88%,14,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,96.57%,16,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,96.88%,18,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.95%,20,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.95%,22,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,96.26%,24,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.95%,26,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,96.26%,28,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.33%,30,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,94.39%,32,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,94.08%,34,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,97.20%,10,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,97.51%,12,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,96.88%,14,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,96.57%,16,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,96.88%,18,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,95.95%,20,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,95.95%,22,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,96.26%,24,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,95.95%,26,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,96.26%,28,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,95.33%,30,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,94.39%,32,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,94.08%,34,Grotesk-Bold,True,False
