font_name,accuracy,font_size,vox_atypl,underlined,bold
SchibstedGroteskRegular,97.20%,10,Grotesk-Regular,True,False
SchibstedGroteskRegular,97.20%,12,Grotesk-Regular,True,False
SchibstedGroteskRegular,96.88%,14,Grotesk-Regular,True,False
SchibstedGroteskRegular,96.57%,16,Grotesk-Regular,True,False
SchibstedGroteskRegular,96.26%,18,Grotesk-Regular,True,False
SchibstedGroteskRegular,96.26%,20,Grotesk-Regular,True,False
SchibstedGroteskRegular,95.95%,22,Grotesk-Regular,True,False
SchibstedGroteskRegular,96.88%,24,Grotesk-Regular,True,False
SchibstedGroteskRegular,95.95%,26,Grotesk-Regular,True,False
SchibstedGroteskRegular,95.95%,28,Grotesk-Regular,True,False
SchibstedGroteskRegular,96.26%,30,Grotesk-Regular,True,False
SchibstedGroteskRegular,94.70%,32,Grotesk-Regular,True,False
SchibstedGroteskRegular,94.39%,34,Grotesk-Regular,True,False
SchibstedGroteskRegular,97.20%,10,Grotesk-Regular,False,False
SchibstedGroteskRegular,97.20%,12,Grotesk-Regular,False,False
SchibstedGroteskRegular,96.88%,14,Grotesk-Regular,False,False
SchibstedGroteskRegular,96.57%,16,Grotesk-Regular,False,False
SchibstedGroteskRegular,96.26%,18,Grotesk-Regular,False,False
SchibstedGroteskRegular,96.26%,20,Grotesk-Regular,False,False
SchibstedGroteskRegular,95.95%,22,Grotesk-Regular,False,False
SchibstedGroteskRegular,96.57%,24,Grotesk-Regular,False,False
SchibstedGroteskRegular,95.95%,26,Grotesk-Regular,False,False
SchibstedGroteskRegular,95.95%,28,Grotesk-Regular,False,False
SchibstedGroteskRegular,96.26%,30,Grotesk-Regular,False,False
SchibstedGroteskRegular,94.70%,32,Grotesk-Regular,False,False
SchibstedGroteskRegular,94.39%,34,Grotesk-Regular,False,False
