font_name,accuracy,font_size,vox_atypl,underlined,bold
peignotbold,76.95%,10,peignotbold,False,True
peignotbold,71.34%,12,peignotbold,False,True
peignotbold,71.65%,14,peignotbold,False,True
peignotbold,81.93%,16,peignotbold,False,True
peignotbold,74.45%,18,peignotbold,False,True
peignotbold,76.95%,20,peignotbold,False,True
peignotbold,81.62%,22,peignotbold,False,True
peignotbold,57.32%,24,peignotbold,False,True
peignotbold,64.49%,26,peignotbold,False,True
peignotbold,66.04%,28,peignotbold,False,True
peignotbold,67.60%,30,peignotbold,False,True
peignotbold,79.44%,32,peignotbold,False,True
peignotbold,67.60%,34,peignotbold,False,True
peignotbold,97.51%,10,peignotbold,True,True
peignotbold,92.52%,12,peignotbold,True,True
peignotbold,87.85%,14,peignotbold,True,True
peignotbold,90.65%,16,peignotbold,True,True
peignotbold,83.80%,18,peignotbold,True,True
peignotbold,88.47%,20,peignotbold,True,True
peignotbold,91.28%,22,peignotbold,True,True
peignotbold,82.24%,24,peignotbold,True,True
peignotbold,79.75%,26,peignotbold,True,True
peignotbold,83.49%,28,peignotbold,True,True
peignotbold,79.44%,30,peignotbold,True,True
peignotbold,87.85%,32,peignotbold,True,True
peignotbold,85.98%,34,peignotbold,True,True
