font_name,accuracy,font_size,vox_atypl,underlined,bold
perpetua-bold,97.82%,10,perpetuabold,False,True
perpetua-bold,89.72%,12,perpetuabold,False,True
perpetua-bold,96.57%,14,perpetuabold,False,True
perpetua-bold,96.88%,16,perpetuabold,False,True
perpetua-bold,96.57%,18,perpetuabold,False,True
perpetua-bold,96.26%,20,perpetuabold,False,True
perpetua-bold,95.95%,22,perpetuabold,False,True
perpetua-bold,95.64%,24,perpetuabold,False,True
perpetua-bold,95.02%,26,perpetuabold,False,True
perpetua-bold,95.33%,28,perpetuabold,False,True
perpetua-bold,95.95%,30,perpetuabold,False,True
perpetua-bold,96.26%,32,perpetuabold,False,True
perpetua-bold,94.70%,34,perpetuabold,False,True
perpetua-bold,97.82%,10,perpetuabold,True,True
perpetua-bold,97.20%,12,perpetuabold,True,True
perpetua-bold,97.51%,14,perpetuabold,True,True
perpetua-bold,95.33%,16,perpetuabold,True,True
perpetua-bold,96.57%,18,perpetuabold,True,True
perpetua-bold,96.26%,20,perpetuabold,True,True
perpetua-bold,96.26%,22,perpetuabold,True,True
perpetua-bold,95.95%,24,perpetuabold,True,True
perpetua-bold,96.26%,26,perpetuabold,True,True
perpetua-bold,95.33%,28,perpetuabold,True,True
perpetua-bold,92.83%,30,perpetuabold,True,True
perpetua-bold,96.26%,32,perpetuabold,True,True
perpetua-bold,94.39%,34,perpetuabold,True,True
