font_name,accuracy,font_size,vox_atypl,underlined,bold
timesbold,97.51%,10,timesbold,False,True
timesbold,97.20%,12,timesbold,False,True
timesbold,99.38%,14,timesbold,False,True
timesbold,96.88%,16,timesbold,False,True
timesbold,96.57%,18,timesbold,False,True
timesbold,96.57%,20,timesbold,False,True
timesbold,96.26%,22,timesbold,False,True
timesbold,95.95%,24,timesbold,False,True
timesbold,95.95%,26,timesbold,False,True
timesbold,96.26%,28,timesbold,False,True
timesbold,95.95%,30,timesbold,False,True
timesbold,95.95%,32,timesbold,False,True
timesbold,96.26%,34,timesbold,False,True
timesbold,97.20%,10,timesbold,True,True
timesbold,96.88%,12,timesbold,True,True
timesbold,98.44%,14,timesbold,True,True
timesbold,95.95%,16,timesbold,True,True
timesbold,95.02%,18,timesbold,True,True
timesbold,96.26%,20,timesbold,True,True
timesbold,96.26%,22,timesbold,True,True
timesbold,95.95%,24,timesbold,True,True
timesbold,95.95%,26,timesbold,True,True
timesbold,95.95%,28,timesbold,True,True
timesbold,95.95%,30,timesbold,True,True
timesbold,95.64%,32,timesbold,True,True
timesbold,95.02%,34,timesbold,True,True
