font_name,accuracy,font_size,vox_atypl,underlined,bold
trafton-script,91.59%,10,trafton,True,False
trafton-script,56.70%,12,trafton,True,False
trafton-script,48.91%,14,trafton,True,False
trafton-script,50.47%,16,trafton,True,False
trafton-script,83.18%,18,trafton,True,False
trafton-script,88.16%,20,trafton,True,False
trafton-script,60.75%,22,trafton,True,False
trafton-script,90.34%,24,trafton,True,False
trafton-script,69.16%,26,trafton,True,False
trafton-script,76.01%,28,trafton,True,False
trafton-script,72.90%,30,trafton,True,False
trafton-script,84.11%,32,trafton,True,False
trafton-script,85.05%,34,trafton,True,False
trafton-script,46.42%,10,trafton,False,False
trafton-script,47.66%,12,trafton,False,False
trafton-script,31.15%,14,trafton,False,False
trafton-script,70.40%,16,trafton,False,False
trafton-script,61.37%,18,trafton,False,False
trafton-script,72.59%,20,trafton,False,False
trafton-script,63.86%,22,trafton,False,False
trafton-script,64.17%,24,trafton,False,False
trafton-script,79.75%,26,trafton,False,False
trafton-script,69.78%,28,trafton,False,False
trafton-script,64.17%,30,trafton,False,False
trafton-script,86.92%,32,trafton,False,False
trafton-script,77.26%,34,trafton,False,False
