font_name,accuracy,font_size,vox_atypl,underlined,bold
Bell MT,92.52%,10,didones,True,False
Bell MT,97.20%,12,didones,True,False
Bell MT,99.38%,14,didones,True,False
Bell MT,96.88%,16,didones,True,False
Bell MT,96.57%,18,didones,True,False
Bell MT,96.57%,20,didones,True,False
Bell MT,96.26%,22,didones,True,False
Bell MT,95.95%,24,didones,True,False
Bell MT,95.95%,26,didones,True,False
Bell MT,96.26%,28,didones,True,False
Bell MT,95.95%,30,didones,True,False
Bell MT,95.95%,32,didones,True,False
Bell MT,93.77%,34,didones,True,False
bodoni,97.51%,10,didones,True,False
bodoni,97.20%,12,didones,True,False
bodoni,97.51%,14,didones,True,False
bodoni,96.88%,16,didones,True,False
bodoni,96.57%,18,didones,True,False
bodoni,96.26%,20,didones,True,False
bodoni,96.26%,22,didones,True,False
bodoni,95.95%,24,didones,True,False
bodoni,97.51%,26,didones,True,False
bodoni,96.26%,28,didones,True,False
bodoni,95.95%,30,didones,True,False
bodoni,96.26%,32,didones,True,False
bodoni,95.33%,34,didones,True,False
CENTURY,97.20%,10,didones,True,False
CENTURY,97.20%,12,didones,True,False
CENTURY,96.88%,14,didones,True,False
CENTURY,96.57%,16,didones,True,False
CENTURY,96.26%,18,didones,True,False
CENTURY,96.26%,20,didones,True,False
CENTURY,95.95%,22,didones,True,False
CENTURY,96.26%,24,didones,True,False
CENTURY,95.95%,26,didones,True,False
CENTURY,95.64%,28,didones,True,False
CENTURY,96.26%,30,didones,True,False
CENTURY,94.70%,32,didones,True,False
CENTURY,94.39%,34,didones,True,False
Didot,97.20%,10,didones,True,False
Didot,97.20%,12,didones,True,False
Didot,95.95%,14,didones,True,False
Didot,96.57%,16,didones,True,False
Didot,96.57%,18,didones,True,False
Didot,96.26%,20,didones,True,False
Didot,95.33%,22,didones,True,False
Didot,96.26%,24,didones,True,False
Didot,96.26%,26,didones,True,False
Didot,95.95%,28,didones,True,False
Didot,96.26%,30,didones,True,False
Didot,95.33%,32,didones,True,False
Didot,94.70%,34,didones,True,False
falstaff-regular,95.95%,10,didones,True,False
falstaff-regular,96.88%,12,didones,True,False
falstaff-regular,97.51%,14,didones,True,False
falstaff-regular,96.57%,16,didones,True,False
falstaff-regular,96.57%,18,didones,True,False
falstaff-regular,96.26%,20,didones,True,False
falstaff-regular,95.95%,22,didones,True,False
falstaff-regular,95.95%,24,didones,True,False
falstaff-regular,96.26%,26,didones,True,False
falstaff-regular,95.95%,28,didones,True,False
falstaff-regular,95.95%,30,didones,True,False
falstaff-regular,95.33%,32,didones,True,False
falstaff-regular,94.39%,34,didones,True,False
Bell MT,92.52%,10,didones,False,False
Bell MT,97.20%,12,didones,False,False
Bell MT,99.38%,14,didones,False,False
Bell MT,96.88%,16,didones,False,False
Bell MT,96.57%,18,didones,False,False
Bell MT,96.57%,20,didones,False,False
Bell MT,96.26%,22,didones,False,False
Bell MT,95.95%,24,didones,False,False
Bell MT,95.95%,26,didones,False,False
Bell MT,90.34%,28,didones,False,False
Bell MT,95.95%,30,didones,False,False
Bell MT,95.95%,32,didones,False,False
Bell MT,96.26%,34,didones,False,False
bodoni,97.51%,10,didones,False,False
bodoni,97.20%,12,didones,False,False
bodoni,97.51%,14,didones,False,False
bodoni,96.88%,16,didones,False,False
bodoni,96.57%,18,didones,False,False
bodoni,96.26%,20,didones,False,False
bodoni,96.26%,22,didones,False,False
bodoni,95.95%,24,didones,False,False
bodoni,97.51%,26,didones,False,False
bodoni,96.26%,28,didones,False,False
bodoni,95.95%,30,didones,False,False
bodoni,96.26%,32,didones,False,False
bodoni,95.33%,34,didones,False,False
CENTURY,97.20%,10,didones,False,False
CENTURY,97.20%,12,didones,False,False
CENTURY,96.88%,14,didones,False,False
CENTURY,96.57%,16,didones,False,False
CENTURY,96.26%,18,didones,False,False
CENTURY,96.26%,20,didones,False,False
CENTURY,95.95%,22,didones,False,False
CENTURY,96.26%,24,didones,False,False
CENTURY,95.95%,26,didones,False,False
CENTURY,93.46%,28,didones,False,False
CENTURY,96.26%,30,didones,False,False
CENTURY,94.70%,32,didones,False,False
CENTURY,94.39%,34,didones,False,False
Didot,97.20%,10,didones,False,False
Didot,97.20%,12,didones,False,False
Didot,95.02%,14,didones,False,False
Didot,96.57%,16,didones,False,False
Didot,96.57%,18,didones,False,False
Didot,93.77%,20,didones,False,False
Didot,95.95%,22,didones,False,False
Didot,96.26%,24,didones,False,False
Didot,95.64%,26,didones,False,False
Didot,95.95%,28,didones,False,False
Didot,96.26%,30,didones,False,False
Didot,95.33%,32,didones,False,False
Didot,94.70%,34,didones,False,False
falstaff-regular,96.88%,10,didones,False,False
falstaff-regular,97.20%,12,didones,False,False
falstaff-regular,97.51%,14,didones,False,False
falstaff-regular,96.57%,16,didones,False,False
falstaff-regular,96.57%,18,didones,False,False
falstaff-regular,95.95%,20,didones,False,False
falstaff-regular,95.95%,22,didones,False,False
falstaff-regular,95.95%,24,didones,False,False
falstaff-regular,95.02%,26,didones,False,False
falstaff-regular,95.95%,28,didones,False,False
falstaff-regular,95.95%,30,didones,False,False
falstaff-regular,95.33%,32,didones,False,False
falstaff-regular,94.70%,34,didones,False,False
