font_name,accuracy,font_size,vox_atypl,underlined,bold
Bell MT,97.20%,10,didones,True,False
Bell MT,96.57%,12,didones,True,False
Bell MT,97.51%,14,didones,True,False
Bell MT,96.57%,16,didones,True,False
Bell MT,95.33%,18,didones,True,False
Bell MT,95.95%,20,didones,True,False
Bell MT,95.64%,22,didones,True,False
Bell MT,95.02%,24,didones,True,False
Bell MT,94.39%,26,didones,True,False
Bell MT,94.08%,28,didones,True,False
Bell MT,94.08%,30,didones,True,False
Bell MT,95.02%,32,didones,True,False
Bell MT,94.39%,34,didones,True,False
bodoni,95.95%,10,didones,True,False
bodoni,96.88%,12,didones,True,False
bodoni,96.88%,14,didones,True,False
bodoni,95.64%,16,didones,True,False
bodoni,95.95%,18,didones,True,False
bodoni,94.39%,20,didones,True,False
bodoni,94.39%,22,didones,True,False
bodoni,94.39%,24,didones,True,False
bodoni,94.08%,26,didones,True,False
bodoni,94.39%,28,didones,True,False
bodoni,94.39%,30,didones,True,False
bodoni,93.46%,32,didones,True,False
bodoni,91.59%,34,didones,True,False
CENTURY,96.57%,10,didones,True,False
CENTURY,96.88%,12,didones,True,False
CENTURY,96.57%,14,didones,True,False
CENTURY,94.70%,16,didones,True,False
CENTURY,95.64%,18,didones,True,False
CENTURY,95.64%,20,didones,True,False
CENTURY,94.39%,22,didones,True,False
CENTURY,94.39%,24,didones,True,False
CENTURY,93.46%,26,didones,True,False
CENTURY,94.39%,28,didones,True,False
CENTURY,95.02%,30,didones,True,False
CENTURY,92.83%,32,didones,True,False
CENTURY,93.15%,34,didones,True,False
Didot,47.04%,10,didones,True,False
Didot,95.02%,12,didones,True,False
Didot,95.64%,14,didones,True,False
Didot,94.70%,16,didones,True,False
Didot,95.33%,18,didones,True,False
Didot,93.77%,20,didones,True,False
Didot,94.70%,22,didones,True,False
Didot,94.70%,24,didones,True,False
Didot,94.08%,26,didones,True,False
Didot,94.70%,28,didones,True,False
Didot,95.33%,30,didones,True,False
Didot,94.08%,32,didones,True,False
Didot,92.52%,34,didones,True,False
falstaff-regular,96.26%,10,didones,True,False
falstaff-regular,84.11%,12,didones,True,False
falstaff-regular,95.95%,14,didones,True,False
falstaff-regular,94.70%,16,didones,True,False
falstaff-regular,95.64%,18,didones,True,False
falstaff-regular,95.02%,20,didones,True,False
falstaff-regular,94.70%,22,didones,True,False
falstaff-regular,94.70%,24,didones,True,False
falstaff-regular,93.77%,26,didones,True,False
falstaff-regular,94.08%,28,didones,True,False
falstaff-regular,93.77%,30,didones,True,False
falstaff-regular,93.15%,32,didones,True,False
falstaff-regular,93.46%,34,didones,True,False
Bell MT,97.20%,10,didones,False,False
Bell MT,96.88%,12,didones,False,False
Bell MT,99.38%,14,didones,False,False
Bell MT,96.26%,16,didones,False,False
Bell MT,96.26%,18,didones,False,False
Bell MT,96.26%,20,didones,False,False
Bell MT,95.95%,22,didones,False,False
Bell MT,95.02%,24,didones,False,False
Bell MT,95.64%,26,didones,False,False
Bell MT,95.33%,28,didones,False,False
Bell MT,95.02%,30,didones,False,False
Bell MT,95.33%,32,didones,False,False
Bell MT,95.02%,34,didones,False,False
bodoni,97.20%,10,didones,False,False
bodoni,96.88%,12,didones,False,False
bodoni,97.20%,14,didones,False,False
bodoni,93.15%,16,didones,False,False
bodoni,95.95%,18,didones,False,False
bodoni,95.33%,20,didones,False,False
bodoni,95.33%,22,didones,False,False
bodoni,93.46%,24,didones,False,False
bodoni,95.33%,26,didones,False,False
bodoni,94.70%,28,didones,False,False
bodoni,94.70%,30,didones,False,False
bodoni,94.08%,32,didones,False,False
bodoni,91.59%,34,didones,False,False
CENTURY,96.88%,10,didones,False,False
CENTURY,96.88%,12,didones,False,False
CENTURY,96.57%,14,didones,False,False
CENTURY,95.95%,16,didones,False,False
CENTURY,95.33%,18,didones,False,False
CENTURY,95.64%,20,didones,False,False
CENTURY,95.02%,22,didones,False,False
CENTURY,95.64%,24,didones,False,False
CENTURY,95.02%,26,didones,False,False
CENTURY,95.64%,28,didones,False,False
CENTURY,95.33%,30,didones,False,False
CENTURY,94.08%,32,didones,False,False
CENTURY,93.46%,34,didones,False,False
Didot,96.57%,10,didones,False,False
Didot,95.02%,12,didones,False,False
Didot,95.95%,14,didones,False,False
Didot,95.95%,16,didones,False,False
Didot,96.26%,18,didones,False,False
Didot,95.33%,20,didones,False,False
Didot,95.02%,22,didones,False,False
Didot,95.64%,24,didones,False,False
Didot,95.02%,26,didones,False,False
Didot,94.70%,28,didones,False,False
Didot,95.02%,30,didones,False,False
Didot,94.70%,32,didones,False,False
Didot,91.90%,34,didones,False,False
falstaff-regular,96.57%,10,didones,False,False
falstaff-regular,96.57%,12,didones,False,False
falstaff-regular,96.88%,14,didones,False,False
falstaff-regular,95.64%,16,didones,False,False
falstaff-regular,95.33%,18,didones,False,False
falstaff-regular,95.33%,20,didones,False,False
falstaff-regular,95.33%,22,didones,False,False
falstaff-regular,95.02%,24,didones,False,False
falstaff-regular,94.70%,26,didones,False,False
falstaff-regular,94.70%,28,didones,False,False
falstaff-regular,94.39%,30,didones,False,False
falstaff-regular,94.39%,32,didones,False,False
falstaff-regular,94.08%,34,didones,False,False
Bembo-Bold-Font,96.57%,10,garaldes,False,True
Bembo-Bold-Font,96.88%,12,garaldes,False,True
Bembo-Bold-Font,95.95%,14,garaldes,False,True
Bembo-Bold-Font,95.64%,16,garaldes,False,True
Bembo-Bold-Font,96.26%,18,garaldes,False,True
Bembo-Bold-Font,96.57%,20,garaldes,False,True
Bembo-Bold-Font,95.33%,22,garaldes,False,True
Bembo-Bold-Font,97.20%,24,garaldes,False,True
Bembo-Bold-Font,95.33%,26,garaldes,False,True
Bembo-Bold-Font,95.33%,28,garaldes,False,True
Bembo-Bold-Font,95.95%,30,garaldes,False,True
Bembo-Bold-Font,94.08%,32,garaldes,False,True
Bembo-Bold-Font,94.08%,34,garaldes,False,True
Bembo-Bold-Font,96.57%,10,garaldes,True,False
Bembo-Bold-Font,96.88%,12,garaldes,True,False
Bembo-Bold-Font,95.95%,14,garaldes,True,False
Bembo-Bold-Font,95.64%,16,garaldes,True,False
Bembo-Bold-Font,96.26%,18,garaldes,True,False
Bembo-Bold-Font,95.95%,20,garaldes,True,False
Bembo-Bold-Font,94.39%,22,garaldes,True,False
Bembo-Bold-Font,96.88%,24,garaldes,True,False
Bembo-Bold-Font,95.02%,26,garaldes,True,False
Bembo-Bold-Font,95.64%,28,garaldes,True,False
Bembo-Bold-Font,94.70%,30,garaldes,True,False
Bembo-Bold-Font,93.15%,32,garaldes,True,False
Bembo-Bold-Font,93.77%,34,garaldes,True,False
DeRoos,95.02%,10,garaldes,True,False
DeRoos,95.33%,12,garaldes,True,False
DeRoos,94.39%,14,garaldes,True,False
DeRoos,93.46%,16,garaldes,True,False
DeRoos,91.90%,18,garaldes,True,False
DeRoos,93.77%,20,garaldes,True,False
DeRoos,94.39%,22,garaldes,True,False
DeRoos,94.08%,24,garaldes,True,False
DeRoos,93.46%,26,garaldes,True,False
DeRoos,94.08%,28,garaldes,True,False
DeRoos,93.46%,30,garaldes,True,False
DeRoos,94.08%,32,garaldes,True,False
DeRoos,93.15%,34,garaldes,True,False
Garamond Regular,96.57%,10,garaldes,True,False
Garamond Regular,96.26%,12,garaldes,True,False
Garamond Regular,96.57%,14,garaldes,True,False
Garamond Regular,95.95%,16,garaldes,True,False
Garamond Regular,95.64%,18,garaldes,True,False
Garamond Regular,95.64%,20,garaldes,True,False
Garamond Regular,94.39%,22,garaldes,True,False
Garamond Regular,95.33%,24,garaldes,True,False
Garamond Regular,94.70%,26,garaldes,True,False
Garamond Regular,95.02%,28,garaldes,True,False
Garamond Regular,95.33%,30,garaldes,True,False
Garamond Regular,95.64%,32,garaldes,True,False
Garamond Regular,95.64%,34,garaldes,True,False
grandjean,20.87%,10,garaldes,True,False
grandjean,21.50%,12,garaldes,True,False
grandjean,22.74%,14,garaldes,True,False
grandjean,19.00%,16,garaldes,True,False
grandjean,19.31%,18,garaldes,True,False
grandjean,17.13%,20,garaldes,True,False
grandjean,19.00%,22,garaldes,True,False
grandjean,18.07%,24,garaldes,True,False
grandjean,17.13%,26,garaldes,True,False
grandjean,18.07%,28,garaldes,True,False
grandjean,19.31%,30,garaldes,True,False
grandjean,18.38%,32,garaldes,True,False
grandjean,16.82%,34,garaldes,True,False
vendomeregular,96.57%,10,garaldes,True,False
vendomeregular,96.88%,12,garaldes,True,False
vendomeregular,95.64%,14,garaldes,True,False
vendomeregular,95.33%,16,garaldes,True,False
vendomeregular,96.26%,18,garaldes,True,False
vendomeregular,95.64%,20,garaldes,True,False
vendomeregular,95.02%,22,garaldes,True,False
vendomeregular,95.33%,24,garaldes,True,False
vendomeregular,94.39%,26,garaldes,True,False
vendomeregular,95.33%,28,garaldes,True,False
vendomeregular,95.02%,30,garaldes,True,False
vendomeregular,95.64%,32,garaldes,True,False
vendomeregular,93.77%,34,garaldes,True,False
DeRoos,96.88%,10,garaldes,False,False
DeRoos,96.57%,12,garaldes,False,False
DeRoos,95.95%,14,garaldes,False,False
DeRoos,82.87%,16,garaldes,False,False
DeRoos,95.64%,18,garaldes,False,False
DeRoos,95.33%,20,garaldes,False,False
DeRoos,95.33%,22,garaldes,False,False
DeRoos,95.33%,24,garaldes,False,False
DeRoos,94.08%,26,garaldes,False,False
DeRoos,95.02%,28,garaldes,False,False
DeRoos,95.64%,30,garaldes,False,False
DeRoos,94.70%,32,garaldes,False,False
DeRoos,95.02%,34,garaldes,False,False
Garamond Regular,97.20%,10,garaldes,False,False
Garamond Regular,96.88%,12,garaldes,False,False
Garamond Regular,96.88%,14,garaldes,False,False
Garamond Regular,95.64%,16,garaldes,False,False
Garamond Regular,92.52%,18,garaldes,False,False
Garamond Regular,94.70%,20,garaldes,False,False
Garamond Regular,95.33%,22,garaldes,False,False
Garamond Regular,96.26%,24,garaldes,False,False
Garamond Regular,95.33%,26,garaldes,False,False
Garamond Regular,95.95%,28,garaldes,False,False
Garamond Regular,95.33%,30,garaldes,False,False
Garamond Regular,95.64%,32,garaldes,False,False
Garamond Regular,95.64%,34,garaldes,False,False
grandjean,22.12%,10,garaldes,False,False
grandjean,20.56%,12,garaldes,False,False
grandjean,21.81%,14,garaldes,False,False
grandjean,19.00%,16,garaldes,False,False
grandjean,19.63%,18,garaldes,False,False
grandjean,16.82%,20,garaldes,False,False
grandjean,19.00%,22,garaldes,False,False
grandjean,18.38%,24,garaldes,False,False
grandjean,17.45%,26,garaldes,False,False
grandjean,18.38%,28,garaldes,False,False
grandjean,18.07%,30,garaldes,False,False
grandjean,18.38%,32,garaldes,False,False
grandjean,16.20%,34,garaldes,False,False
vendomeregular,96.88%,10,garaldes,False,False
vendomeregular,96.88%,12,garaldes,False,False
vendomeregular,96.88%,14,garaldes,False,False
vendomeregular,96.88%,16,garaldes,False,False
vendomeregular,96.26%,18,garaldes,False,False
vendomeregular,95.95%,20,garaldes,False,False
vendomeregular,95.64%,22,garaldes,False,False
vendomeregular,95.64%,24,garaldes,False,False
vendomeregular,95.95%,26,garaldes,False,False
vendomeregular,95.64%,28,garaldes,False,False
vendomeregular,95.64%,30,garaldes,False,False
vendomeregular,95.95%,32,garaldes,False,False
vendomeregular,94.39%,34,garaldes,False,False
AshleyScriptMTStdRg,96.57%,10,humanistic,True,False
AshleyScriptMTStdRg,96.57%,12,humanistic,True,False
AshleyScriptMTStdRg,96.26%,14,humanistic,True,False
AshleyScriptMTStdRg,94.39%,16,humanistic,True,False
AshleyScriptMTStdRg,95.33%,18,humanistic,True,False
AshleyScriptMTStdRg,94.08%,20,humanistic,True,False
AshleyScriptMTStdRg,95.02%,22,humanistic,True,False
AshleyScriptMTStdRg,93.46%,24,humanistic,True,False
AshleyScriptMTStdRg,92.83%,26,humanistic,True,False
AshleyScriptMTStdRg,93.77%,28,humanistic,True,False
AshleyScriptMTStdRg,92.52%,30,humanistic,True,False
AshleyScriptMTStdRg,92.83%,32,humanistic,True,False
AshleyScriptMTStdRg,94.39%,34,humanistic,True,False
Centaur-Regular,97.20%,10,humanistic,True,False
Centaur-Regular,97.20%,12,humanistic,True,False
Centaur-Regular,96.88%,14,humanistic,True,False
Centaur-Regular,98.75%,16,humanistic,True,False
Centaur-Regular,95.95%,18,humanistic,True,False
Centaur-Regular,95.95%,20,humanistic,True,False
Centaur-Regular,95.95%,22,humanistic,True,False
Centaur-Regular,94.39%,24,humanistic,True,False
Centaur-Regular,95.33%,26,humanistic,True,False
Centaur-Regular,94.70%,28,humanistic,True,False
Centaur-Regular,95.02%,30,humanistic,True,False
Centaur-Regular,94.08%,32,humanistic,True,False
Centaur-Regular,94.70%,34,humanistic,True,False
DeRoos,95.02%,10,humanistic,True,False
DeRoos,95.33%,12,humanistic,True,False
DeRoos,94.39%,14,humanistic,True,False
DeRoos,93.46%,16,humanistic,True,False
DeRoos,91.90%,18,humanistic,True,False
DeRoos,93.77%,20,humanistic,True,False
DeRoos,94.39%,22,humanistic,True,False
DeRoos,94.08%,24,humanistic,True,False
DeRoos,93.46%,26,humanistic,True,False
DeRoos,94.08%,28,humanistic,True,False
DeRoos,93.46%,30,humanistic,True,False
DeRoos,94.08%,32,humanistic,True,False
DeRoos,93.15%,34,humanistic,True,False
perpetua,20.25%,10,humanistic,True,False
perpetua,17.45%,12,humanistic,True,False
perpetua,18.69%,14,humanistic,True,False
perpetua,17.76%,16,humanistic,True,False
perpetua,18.07%,18,humanistic,True,False
perpetua,18.38%,20,humanistic,True,False
perpetua,17.13%,22,humanistic,True,False
perpetua,18.07%,24,humanistic,True,False
perpetua,16.20%,26,humanistic,True,False
perpetua,16.82%,28,humanistic,True,False
perpetua,17.76%,30,humanistic,True,False
perpetua,16.82%,32,humanistic,True,False
perpetua,18.69%,34,humanistic,True,False
AshleyScriptMTStdRg,96.88%,10,humanistic,False,False
AshleyScriptMTStdRg,96.26%,12,humanistic,False,False
AshleyScriptMTStdRg,95.95%,14,humanistic,False,False
AshleyScriptMTStdRg,96.26%,16,humanistic,False,False
AshleyScriptMTStdRg,95.33%,18,humanistic,False,False
AshleyScriptMTStdRg,95.02%,20,humanistic,False,False
AshleyScriptMTStdRg,94.39%,22,humanistic,False,False
AshleyScriptMTStdRg,94.70%,24,humanistic,False,False
AshleyScriptMTStdRg,92.83%,26,humanistic,False,False
AshleyScriptMTStdRg,94.70%,28,humanistic,False,False
AshleyScriptMTStdRg,92.83%,30,humanistic,False,False
AshleyScriptMTStdRg,93.46%,32,humanistic,False,False
AshleyScriptMTStdRg,93.15%,34,humanistic,False,False
Centaur-Regular,97.20%,10,humanistic,False,False
Centaur-Regular,97.82%,12,humanistic,False,False
Centaur-Regular,96.88%,14,humanistic,False,False
Centaur-Regular,99.38%,16,humanistic,False,False
Centaur-Regular,96.57%,18,humanistic,False,False
Centaur-Regular,95.64%,20,humanistic,False,False
Centaur-Regular,95.33%,22,humanistic,False,False
Centaur-Regular,95.64%,24,humanistic,False,False
Centaur-Regular,95.95%,26,humanistic,False,False
Centaur-Regular,95.64%,28,humanistic,False,False
Centaur-Regular,96.57%,30,humanistic,False,False
Centaur-Regular,94.70%,32,humanistic,False,False
Centaur-Regular,95.64%,34,humanistic,False,False
DeRoos,96.88%,10,humanistic,False,False
DeRoos,96.57%,12,humanistic,False,False
DeRoos,95.95%,14,humanistic,False,False
DeRoos,82.87%,16,humanistic,False,False
DeRoos,95.64%,18,humanistic,False,False
DeRoos,95.33%,20,humanistic,False,False
DeRoos,95.33%,22,humanistic,False,False
