font_name,accuracy,font_size,vox_atypl,underlined,bold
SchibstedGrotesk-Bold,96.57%,10,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,97.20%,12,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,96.57%,14,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,96.26%,16,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,96.57%,18,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.64%,20,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.33%,22,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.95%,24,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.64%,26,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.64%,28,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,95.02%,30,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,93.77%,32,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,93.46%,34,Grotesk-Bold,False,True
SchibstedGrotesk-Bold,96.88%,10,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,96.88%,12,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,96.57%,14,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,96.26%,16,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,96.26%,18,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,95.02%,20,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,95.33%,22,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,95.64%,24,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,95.33%,26,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,95.33%,28,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,94.39%,30,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,93.15%,32,Grotesk-Bold,True,False
SchibstedGrotesk-Bold,92.83%,34,Grotesk-Bold,True,False
