font_name,accuracy,font_size,vox_atypl,underlined,bold
SchibstedGroteskRegular,96.88%,10,Grotesk-Regular,True,False
SchibstedGroteskRegular,96.57%,12,Grotesk-Regular,True,False
SchibstedGroteskRegular,96.57%,14,Grotesk-Regular,True,False
SchibstedGroteskRegular,95.02%,16,Grotesk-Regular,True,False
SchibstedGroteskRegular,94.08%,18,Grotesk-Regular,True,False
SchibstedGroteskRegular,95.02%,20,Grotesk-Regular,True,False
SchibstedGroteskRegular,93.46%,22,Grotesk-Regular,True,False
SchibstedGroteskRegular,94.39%,24,Grotesk-Regular,True,False
SchibstedGroteskRegular,93.77%,26,Grotesk-Regular,True,False
SchibstedGroteskRegular,93.77%,28,Grotesk-Regular,True,False
SchibstedGroteskRegular,93.77%,30,Grotesk-Regular,True,False
SchibstedGroteskRegular,91.59%,32,Grotesk-Regular,True,False
SchibstedGroteskRegular,91.59%,34,Grotesk-Regular,True,False
SchibstedGroteskRegular,96.88%,10,Grotesk-Regular,False,False
SchibstedGroteskRegular,96.88%,12,Grotesk-Regular,False,False
SchibstedGroteskRegular,96.26%,14,Grotesk-Regular,False,False
SchibstedGroteskRegular,96.26%,16,Grotesk-Regular,False,False
SchibstedGroteskRegular,95.02%,18,Grotesk-Regular,False,False
SchibstedGroteskRegular,94.39%,20,Grotesk-Regular,False,False
SchibstedGroteskRegular,92.83%,22,Grotesk-Regular,False,False
SchibstedGroteskRegular,95.02%,24,Grotesk-Regular,False,False
SchibstedGroteskRegular,94.39%,26,Grotesk-Regular,False,False
SchibstedGroteskRegular,94.08%,28,Grotesk-Regular,False,False
SchibstedGroteskRegular,94.08%,30,Grotesk-Regular,False,False
SchibstedGroteskRegular,90.97%,32,Grotesk-Regular,False,False
SchibstedGroteskRegular,92.21%,34,Grotesk-Regular,False,False
