font_name,accuracy,font_size,vox_atypl,underlined,bold
peignotbold,81.62%,10,peignotbold,False,True
peignotbold,79.75%,12,peignotbold,False,True
peignotbold,76.95%,14,peignotbold,False,True
peignotbold,75.39%,16,peignotbold,False,True
peignotbold,74.14%,18,peignotbold,False,True
peignotbold,72.59%,20,peignotbold,False,True
peignotbold,71.34%,22,peignotbold,False,True
peignotbold,63.24%,24,peignotbold,False,True
peignotbold,66.04%,26,peignotbold,False,True
peignotbold,59.19%,28,peignotbold,False,True
peignotbold,62.31%,30,peignotbold,False,True
peignotbold,64.80%,32,peignotbold,False,True
peignotbold,61.06%,34,peignotbold,False,True
peignotbold,73.52%,10,peignotbold,True,True
peignotbold,76.64%,12,peignotbold,True,True
peignotbold,74.77%,14,peignotbold,True,True
peignotbold,71.34%,16,peignotbold,True,True
peignotbold,70.40%,18,peignotbold,True,True
peignotbold,69.78%,20,peignotbold,True,True
peignotbold,66.36%,22,peignotbold,True,True
peignotbold,58.88%,24,peignotbold,True,True
peignotbold,63.55%,26,peignotbold,True,True
peignotbold,55.14%,28,peignotbold,True,True
peignotbold,53.89%,30,peignotbold,True,True
peignotbold,54.83%,32,peignotbold,True,True
peignotbold,53.27%,34,peignotbold,True,True
