font_name,accuracy,font_size,vox_atypl,underlined,bold
perpetua-bold,97.82%,10,perpetuabold,False,True
perpetua-bold,96.26%,12,perpetuabold,False,True
perpetua-bold,96.88%,14,perpetuabold,False,True
perpetua-bold,96.57%,16,perpetuabold,False,True
perpetua-bold,96.26%,18,perpetuabold,False,True
perpetua-bold,94.08%,20,perpetuabold,False,True
perpetua-bold,95.95%,22,perpetuabold,False,True
perpetua-bold,95.64%,24,perpetuabold,False,True
perpetua-bold,95.95%,26,perpetuabold,False,True
perpetua-bold,94.70%,28,perpetuabold,False,True
perpetua-bold,95.64%,30,perpetuabold,False,True
perpetua-bold,95.64%,32,perpetuabold,False,True
perpetua-bold,94.08%,34,perpetuabold,False,True
perpetua-bold,70.40%,10,perpetuabold,True,True
perpetua-bold,96.57%,12,perpetuabold,True,True
perpetua-bold,97.20%,14,perpetuabold,True,True
perpetua-bold,96.26%,16,perpetuabold,True,True
perpetua-bold,95.95%,18,perpetuabold,True,True
perpetua-bold,95.64%,20,perpetuabold,True,True
perpetua-bold,95.95%,22,perpetuabold,True,True
perpetua-bold,94.39%,24,perpetuabold,True,True
perpetua-bold,94.08%,26,perpetuabold,True,True
perpetua-bold,94.08%,28,perpetuabold,True,True
perpetua-bold,94.39%,30,perpetuabold,True,True
perpetua-bold,93.77%,32,perpetuabold,True,True
perpetua-bold,93.77%,34,perpetuabold,True,True
