font_name,accuracy,font_size,vox_atypl,underlined,bold
timesbold,95.33%,10,timesbold,False,True
timesbold,94.70%,12,timesbold,False,True
timesbold,95.33%,14,timesbold,False,True
timesbold,94.08%,16,timesbold,False,True
timesbold,94.39%,18,timesbold,False,True
timesbold,94.39%,20,timesbold,False,True
timesbold,94.08%,22,timesbold,False,True
timesbold,93.46%,24,timesbold,False,True
timesbold,93.15%,26,timesbold,False,True
timesbold,94.08%,28,timesbold,False,True
timesbold,93.46%,30,timesbold,False,True
timesbold,92.52%,32,timesbold,False,True
timesbold,92.83%,34,timesbold,False,True
timesbold,95.02%,10,timesbold,True,True
timesbold,95.02%,12,timesbold,True,True
timesbold,95.95%,14,timesbold,True,True
timesbold,93.77%,16,timesbold,True,True
timesbold,93.77%,18,timesbold,True,True
timesbold,94.39%,20,timesbold,True,True
timesbold,94.08%,22,timesbold,True,True
timesbold,93.46%,24,timesbold,True,True
timesbold,93.77%,26,timesbold,True,True
timesbold,94.08%,28,timesbold,True,True
timesbold,93.46%,30,timesbold,True,True
timesbold,93.46%,32,timesbold,True,True
timesbold,93.77%,34,timesbold,True,True
