font_name,accuracy,font_size,vox_atypl,underlined,bold
trafton-script,37.07%,10,trafton,True,False
trafton-script,0.00%,12,trafton,True,False
trafton-script,37.38%,14,trafton,True,False
trafton-script,76.01%,16,trafton,True,False
trafton-script,73.83%,18,trafton,True,False
trafton-script,79.13%,20,trafton,True,False
trafton-script,80.06%,22,trafton,True,False
trafton-script,80.06%,24,trafton,True,False
trafton-script,82.24%,26,trafton,True,False
trafton-script,78.19%,28,trafton,True,False
trafton-script,77.57%,30,trafton,True,False
trafton-script,80.37%,32,trafton,True,False
trafton-script,75.08%,34,trafton,True,False
trafton-script,85.98%,10,trafton,False,False
trafton-script,85.67%,12,trafton,False,False
trafton-script,77.88%,14,trafton,False,False
trafton-script,86.29%,16,trafton,False,False
trafton-script,85.98%,18,trafton,False,False
trafton-script,86.29%,20,trafton,False,False
trafton-script,85.67%,22,trafton,False,False
trafton-script,87.23%,24,trafton,False,False
trafton-script,85.67%,26,trafton,False,False
trafton-script,83.18%,28,trafton,False,False
trafton-script,83.18%,30,trafton,False,False
trafton-script,87.23%,32,trafton,False,False
trafton-script,88.16%,34,trafton,False,False
